Transaction Date,ATM Name,No Of Withdrawals,Amount withdrawn Card,Amount withdrawn Other Card,Total amount Withdrawn
2015-06-16,Big Street ATM,70,355590,813600,1169190
2015-06-17,Big Street ATM,47,587660,133200,720860
2015-06-18,Big Street ATM,81,623700,338400,962100
2015-06-19,Big Street ATM,75,613580,550800,1164380
2015-06-20,Big Street ATM,62,989010,124200,1113210
2015-06-21,Big Street ATM,72,744390,562500,1306890
2015-06-22,Big Street ATM,53,281070,397800,678870
2015-06-23,Big Street ATM,38,153900,229050,382950
2015-06-24,Big Street ATM,32,43340,127800,171140
2015-06-25,Big Street ATM,55,343840,796500,1140340
2015-06-26,Big Street ATM,54,321570,611100,932670
2015-06-27,Big Street ATM,49,270540,117000,387540
2015-06-28,Big Street ATM,38,146200,308700,454900
2015-06-29,Big Street ATM,60,596560,275400,871960
2015-06-30,Big Street ATM,37,383130,135000,518130
2015-07-01,Big Street ATM,110,640710,1136700,1777410
2015-07-02,Big Street ATM,52,450360,660150,1110510
2015-07-03,Big Street ATM,81,402980,857250,1260230
2015-07-04,Big Street ATM,48,228780,400680,629460
2015-07-05,Big Street ATM,62,840340,414260,1254600
2015-07-06,Big Street ATM,38,233040,484310,717350
2015-07-07,Big Street ATM,64,519660,496600,1016260
2015-07-08,Big Street ATM,71,282790,515020,797810
2015-07-09,Big Street ATM,63,561750,716310,1278060
2015-07-10,Big Street ATM,100,845640,779400,1625040
2015-07-11,Big Street ATM,51,260820,533250,794070
2015-07-12,Big Street ATM,48,291680,361040,652720
2015-07-13,Big Street ATM,60,255560,618300,873860
2015-07-14,Big Street ATM,51,624510,186750,811260
2015-07-15,Big Street ATM,52,443070,423450,866520
2015-07-16,Big Street ATM,50,572260,439650,1011910
2015-07-17,Big Street ATM,56,752900,283500,1036400
2015-07-18,Big Street ATM,42,254340,273150,527490
2015-07-19,Big Street ATM,37,353970,177300,531270
2015-07-20,Big Street ATM,38,202100,162900,365000
2015-07-21,Big Street ATM,41,318330,238950,557280
2015-07-22,Big Street ATM,43,131620,275400,407020
2015-07-23,Big Street ATM,45,263660,157950,421610
2015-07-24,Big Street ATM,43,569020,249750,818770
2015-07-25,Big Street ATM,82,804330,805500,1609830
2015-07-26,Big Street ATM,46,397710,235800,633510
2015-07-27,Big Street ATM,27,114620,112950,227570
2015-07-28,Big Street ATM,39,99220,317250,416470
2015-07-29,Big Street ATM,34,95980,284400,380380
2015-07-30,Big Street ATM,29,130000,257850,387850
2015-07-31,Big Street ATM,36,541080,207900,748980
2015-08-01,Big Street ATM,52,728600,400950,1129550
2015-08-02,Big Street ATM,47,209790,407250,617040
2015-08-03,Big Street ATM,56,323600,634500,958100
2015-08-04,Big Street ATM,60,384430,842470,1226900
2015-08-05,Big Street ATM,48,205840,330920,536760
2015-08-06,Big Street ATM,44,128860,531090,659950
2015-08-07,Big Street ATM,48,379740,413440,793180
2015-08-08,Big Street ATM,41,512000,205060,717060
2015-08-09,Big Street ATM,49,508600,241450,750050
2015-08-10,Big Street ATM,31,370170,124650,494820
2015-08-11,Big Street ATM,13,44140,87300,131440
2015-08-12,Big Street ATM,22,11340,261540,272880
2015-08-13,Big Street ATM,33,250290,197100,447390
2015-08-14,Big Street ATM,43,237330,413550,650880
2015-08-15,Big Street ATM,54,344660,520200,864860
2015-08-16,Big Street ATM,52,373000,390600,763600
2015-08-17,Big Street ATM,35,216270,121500,337770
2015-08-18,Big Street ATM,22,105700,99450,205150
2015-08-19,Big Street ATM,37,272560,313650,586210
2015-08-20,Big Street ATM,55,346280,325800,672080
2015-08-21,Big Street ATM,16,19440,15300,34740
2015-08-22,Big Street ATM,48,494100,190800,684900
2015-08-23,Big Street ATM,41,308200,273600,581800
2015-08-24,Big Street ATM,53,741560,81000,822560
2015-08-25,Big Street ATM,56,580770,302400,883170
2015-08-26,Big Street ATM,54,462510,170100,632610
2015-08-27,Big Street ATM,42,152280,434250,586530
2015-08-28,Big Street ATM,34,212620,239400,452020
2015-08-29,Big Street ATM,34,428080,217350,645430
2015-08-30,Big Street ATM,40,326020,258300,584320
2015-08-31,Big Street ATM,59,278240,351900,630140
2015-09-01,Big Street ATM,62,196610,706660,903270
2015-09-02,Big Street ATM,95,420530,1093540,1514070
2015-09-03,Big Street ATM,62,169290,611750,781040
2015-09-04,Big Street ATM,48,443170,608220,1051390
2015-09-05,Big Street ATM,65,618040,608940,1226980
2015-09-06,Big Street ATM,68,296120,539100,835220
2015-09-07,Big Street ATM,76,685970,892810,1578780
2015-09-08,Big Street ATM,79,509020,848820,1357840
2015-09-09,Big Street ATM,97,592650,702040,1294690
2015-09-10,Big Street ATM,61,398980,338580,737560
2015-09-11,Big Street ATM,64,262400,575420,837820
2015-09-12,Big Street ATM,94,539250,1020100,1559350
2015-09-13,Big Street ATM,89,766040,619880,1385920
2015-09-14,Big Street ATM,86,762180,531380,1293560
2015-09-15,Big Street ATM,96,210460,695540,906000
2015-09-16,Big Street ATM,112,601370,926820,1528190
2015-09-17,Big Street ATM,90,417070,1002920,1419990
2015-09-18,Big Street ATM,89,613290,690840,1304130
2015-09-19,Big Street ATM,91,367440,530960,898400
2015-09-20,Big Street ATM,87,562500,389450,951950
2015-09-21,Big Street ATM,63,449770,424940,874710
2015-09-22,Big Street ATM,69,128120,414250,542370
2015-09-23,Big Street ATM,72,310880,421940,732820
2015-09-24,Big Street ATM,66,234310,372350,606660
2015-09-25,Big Street ATM,76,372060,683140,1055200
2015-09-26,Big Street ATM,80,640600,554470,1195070
2015-09-27,Big Street ATM,86,412070,632270,1044340
2015-09-28,Big Street ATM,76,251240,514710,765950
2015-09-29,Big Street ATM,55,430540,237690,668230
2015-09-30,Big Street ATM,89,226230,688280,914510
2015-10-01,Big Street ATM,97,927310,1199560,2126870
2015-10-02,Big Street ATM,118,326020,1433480,1759500
2015-10-03,Big Street ATM,94,534220,1164380,1698600
2015-10-04,Big Street ATM,65,185830,1039480,1225310
2015-10-05,Big Street ATM,74,600780,859810,1460590
2015-10-06,Big Street ATM,89,650420,1041110,1691530
2015-10-07,Big Street ATM,94,409810,796590,1206400
2015-10-08,Big Street ATM,71,468990,684110,1153100
2015-10-09,Big Street ATM,88,563850,903090,1466940
2015-10-10,Big Street ATM,104,635280,1162820,1798100
2015-10-11,Big Street ATM,91,852790,922700,1775490
2015-10-12,Big Street ATM,70,600240,559520,1159760
2015-10-13,Big Street ATM,87,711210,610650,1321860
2015-10-14,Big Street ATM,63,399140,631870,1031010
2015-10-15,Big Street ATM,84,1013010,392780,1405790
2015-10-16,Big Street ATM,80,857910,653080,1510990
2015-10-17,Big Street ATM,79,621310,614270,1235580
2015-10-18,Big Street ATM,68,528630,678960,1207590
2015-10-19,Big Street ATM,69,337200,526820,864020
2015-10-20,Big Street ATM,86,598020,703800,1301820
2015-10-21,Big Street ATM,102,841140,830590,1671730
2015-10-22,Big Street ATM,55,357700,503530,861230
2015-10-23,Big Street ATM,77,787590,566660,1354250
2015-10-24,Big Street ATM,76,597560,482830,1080390
2015-10-25,Big Street ATM,64,401000,726050,1127050
2015-10-26,Big Street ATM,76,761040,691900,1452940
2015-10-27,Big Street ATM,57,353040,376740,729780
2015-10-28,Big Street ATM,63,452710,457470,910180
2015-10-29,Big Street ATM,53,398220,371560,769780
2015-10-30,Big Street ATM,50,506280,215800,722080
2015-10-31,Big Street ATM,80,303670,859570,1163240
2015-11-01,Big Street ATM,87,852880,972100,1824980
2015-11-02,Big Street ATM,90,828920,872660,1701580
2015-11-03,Big Street ATM,79,733560,914500,1648060
2015-11-04,Big Street ATM,76,409240,927700,1336940
2015-11-05,Big Street ATM,110,775860,1498880,2274740
2015-11-06,Big Street ATM,75,854450,763390,1617840
2015-11-07,Big Street ATM,109,1101950,1012720,2114670
2015-11-08,Big Street ATM,83,775370,866080,1641450
2015-11-09,Big Street ATM,92,628510,1116550,1745060
2015-11-10,Big Street ATM,132,1195690,1343770,2539460
2015-11-11,Big Street ATM,127,1053390,1366040,2419430
2015-11-12,Big Street ATM,111,703970,1430480,2134450
2015-11-13,Big Street ATM,105,512030,1464400,1976430
2015-11-14,Big Street ATM,62,239130,742250,981380
2015-11-15,Big Street ATM,76,569240,704760,1274000
2015-11-16,Big Street ATM,70,1078320,686830,1765150
2015-11-17,Big Street ATM,55,777570,398840,1176410
2015-11-18,Big Street ATM,24,218600,102700,321300
2015-11-19,Big Street ATM,86,955580,746600,1702180
2015-11-20,Big Street ATM,81,605920,836250,1442170
2015-11-21,Big Street ATM,86,736490,736820,1473310
2015-11-22,Big Street ATM,78,476820,743880,1220700
2015-11-23,Big Street ATM,85,505170,859620,1364790
2015-11-24,Big Street ATM,85,318370,1016650,1335020
2015-11-25,Big Street ATM,80,270430,855270,1125700
2015-11-26,Big Street ATM,90,892980,586840,1479820
2015-11-27,Big Street ATM,78,663130,743340,1406470
2015-11-28,Big Street ATM,76,263600,539030,802630
2015-11-29,Big Street ATM,81,481210,1030780,1511990
2015-11-30,Big Street ATM,96,414220,1391040,1805260
2015-12-01,Big Street ATM,117,543400,1544930,2088330
2015-12-02,Big Street ATM,141,796580,1261150,2057730
2015-12-03,Big Street ATM,105,591620,1318200,1909820
2015-12-04,Big Street ATM,127,595900,1661250,2257150
2015-12-05,Big Street ATM,112,777320,1235620,2012940
2015-12-06,Big Street ATM,82,385380,969450,1354830
2015-12-07,Big Street ATM,98,598240,1258050,1856290
2015-12-08,Big Street ATM,90,986440,791290,1777730
2015-12-09,Big Street ATM,113,588400,1053840,1642240
2015-12-10,Big Street ATM,95,552780,877640,1430420
2015-12-11,Big Street ATM,85,621540,923290,1544830
2015-12-12,Big Street ATM,90,348570,1252360,1600930
2015-12-13,Big Street ATM,90,909990,669770,1579760
2015-12-14,Big Street ATM,76,667540,789330,1456870
2015-12-15,Big Street ATM,120,475090,1487380,1962470
2015-12-16,Big Street ATM,118,459910,1220960,1680870
2015-12-17,Big Street ATM,95,407660,992250,1399910
2015-12-18,Big Street ATM,76,343810,818110,1161920
2015-12-19,Big Street ATM,77,329980,755600,1085580
2015-12-20,Big Street ATM,90,487150,883600,1370750
2015-12-21,Big Street ATM,77,854620,561610,1416230
2015-12-22,Big Street ATM,130,629130,1464060,2093190
2015-12-23,Big Street ATM,67,493840,546230,1040070
2015-12-24,Big Street ATM,97,677800,1052280,1730080
2015-12-25,Big Street ATM,76,587610,514980,1102590
2015-12-26,Big Street ATM,89,428650,569550,998200
2015-12-27,Big Street ATM,94,1073420,510020,1583440
2015-12-28,Big Street ATM,109,1560570,591380,2151950
2015-12-29,Big Street ATM,98,465270,794300,1259570
2015-12-30,Big Street ATM,106,714420,1071630,1786050
2015-12-31,Big Street ATM,118,623770,1114300,1738070
2016-01-01,Big Street ATM,125,305780,1591650,1897430
2016-01-02,Big Street ATM,108,502600,1246050,1748650
2016-01-03,Big Street ATM,94,374220,1000800,1375020
2016-01-04,Big Street ATM,104,616180,1001700,1617880
2016-01-05,Big Street ATM,47,259870,449490,709360
2016-01-06,Big Street ATM,95,417600,987520,1405120
2016-01-07,Big Street ATM,99,369970,881210,1251180
2016-01-08,Big Street ATM,68,392510,710170,1102680
2016-01-09,Big Street ATM,73,351690,626540,978230
2016-01-10,Big Street ATM,100,813640,607950,1421590
2016-01-11,Big Street ATM,106,633420,833400,1466820
2016-01-12,Big Street ATM,111,559600,715590,1275190
2016-01-13,Big Street ATM,103,273780,999900,1273680
2016-01-14,Big Street ATM,96,393260,773100,1166360
2016-01-15,Big Street ATM,83,398920,731700,1130620
2016-01-16,Big Street ATM,120,408240,1249650,1657890
2016-01-17,Big Street ATM,90,793400,578250,1371650
2016-01-18,Big Street ATM,107,388800,712800,1101600
2016-01-19,Big Street ATM,84,513940,545400,1059340
2016-01-20,Big Street ATM,106,438210,516150,954360
2016-01-21,Big Street ATM,86,805540,877500,1683040
2016-01-22,Big Street ATM,89,844020,457650,1301670
2016-01-23,Big Street ATM,102,836730,551700,1388430
2016-01-24,Big Street ATM,96,860220,621000,1481220
2016-01-25,Big Street ATM,74,542700,423900,966600
2016-01-26,Big Street ATM,58,295650,251100,546750
2016-01-27,Big Street ATM,98,271350,585450,856800
2016-01-28,Big Street ATM,129,822150,1310400,2132550
2016-01-29,Big Street ATM,116,356400,1305450,1661850
2016-01-30,Big Street ATM,85,344660,568800,913460
2016-01-31,Big Street ATM,99,433760,854550,1288310
2016-02-01,Big Street ATM,120,807160,1215900,2023060
2016-02-02,Big Street ATM,122,168880,1112850,1281730
2016-02-03,Big Street ATM,94,338980,1147500,1486480
2016-02-04,Big Street ATM,81,506900,530140,1037040
2016-02-05,Big Street ATM,110,695210,1048310,1743520
2016-02-06,Big Street ATM,90,443110,622280,1065390
2016-02-07,Big Street ATM,118,1451800,1211020,2662820
2016-02-08,Big Street ATM,54,592800,447930,1040730
2016-02-09,Big Street ATM,54,203270,430920,634190
2016-02-10,Big Street ATM,122,544320,1230750,1775070
2016-02-11,Big Street ATM,84,548370,705600,1253970
2016-02-12,Big Street ATM,127,868460,899160,1767620
2016-02-13,Big Street ATM,90,506660,707400,1214060
2016-02-14,Big Street ATM,91,553230,657450,1210680
2016-02-15,Big Street ATM,72,541480,736200,1277680
2016-02-16,Big Street ATM,81,386370,624150,1010520
2016-02-17,Big Street ATM,115,641920,1001250,1643170
2016-02-18,Big Street ATM,72,326430,958500,1284930
2016-02-19,Big Street ATM,76,466160,567000,1033160
2016-02-20,Big Street ATM,104,827420,791550,1618970
2016-02-21,Big Street ATM,71,446310,372150,818460
2016-02-22,Big Street ATM,81,120280,740700,860980
2016-02-23,Big Street ATM,96,240980,521100,762080
2016-02-24,Big Street ATM,107,371790,680850,1052640
2016-02-25,Big Street ATM,91,1113750,524700,1638450
2016-02-26,Big Street ATM,82,880880,390150,1271030
2016-02-27,Big Street ATM,96,740340,698400,1438740
2016-02-28,Big Street ATM,111,560120,1435050,1995170
2016-03-01,Big Street ATM,74,407020,651600,1058620
2016-03-02,Big Street ATM,46,139320,395550,534870
2016-03-03,Big Street ATM,74,170910,714600,885510
2016-03-04,Big Street ATM,82,847100,569360,1416460
2016-03-05,Big Street ATM,88,559930,633550,1193480
2016-03-06,Big Street ATM,96,582590,707800,1290390
2016-03-07,Big Street ATM,104,663810,720090,1383900
2016-03-08,Big Street ATM,87,799050,411550,1210600
2016-03-09,Big Street ATM,104,968720,715840,1684560
2016-03-10,Big Street ATM,113,411480,910800,1322280
2016-03-11,Big Street ATM,80,519210,609750,1128960
2016-03-12,Big Street ATM,94,1074240,537300,1611540
2016-03-13,Big Street ATM,76,837940,357750,1195690
2016-03-14,Big Street ATM,99,637060,812250,1449310
2016-03-15,Big Street ATM,97,972810,957600,1930410
2016-03-16,Big Street ATM,111,570640,855900,1426540
2016-03-17,Big Street ATM,103,460480,861750,1322230
2016-03-18,Big Street ATM,84,847260,469350,1316610
2016-03-19,Big Street ATM,86,284310,617400,901710
2016-03-20,Big Street ATM,119,784080,1127700,1911780
2016-03-21,Big Street ATM,115,506660,664200,1170860
2016-03-22,Big Street ATM,89,574290,518400,1092690
2016-03-23,Big Street ATM,98,403780,538200,941980
2016-03-24,Big Street ATM,96,684040,453150,1137190
2016-03-25,Big Street ATM,85,617220,644850,1262070
2016-03-26,Big Street ATM,102,407840,690750,1098590
2016-03-27,Big Street ATM,47,121500,275400,396900
2016-03-28,Big Street ATM,97,784890,747900,1532790
2016-03-29,Big Street ATM,105,623300,932400,1555700
2016-03-30,Big Street ATM,111,611960,1068300,1680260
2016-03-31,Big Street ATM,113,366120,1302300,1668420
2016-04-01,Big Street ATM,102,452790,1196550,1649340
2016-04-02,Big Street ATM,103,814860,915300,1730160
2016-04-03,Big Street ATM,98,530140,750600,1280740
2016-04-04,Big Street ATM,100,438860,918070,1356930
2016-04-05,Big Street ATM,115,746570,1155970,1902540
2016-04-06,Big Street ATM,86,400160,608580,1008740
2016-04-07,Big Street ATM,124,701660,968620,1670280
2016-04-08,Big Street ATM,92,440140,907670,1347810
2016-04-09,Big Street ATM,88,286190,979490,1265680
2016-04-10,Big Street ATM,118,919760,1039950,1959710
2016-04-11,Big Street ATM,122,415940,1352700,1768640
2016-04-12,Big Street ATM,105,315440,947080,1262520
2016-04-13,Big Street ATM,109,469800,662400,1132200
2016-04-14,Big Street ATM,110,305780,710100,1015880
2016-04-15,Big Street ATM,102,688900,751050,1439950
2016-04-16,Big Street ATM,115,860620,1039050,1899670
2016-04-17,Big Street ATM,97,339390,650700,990090
2016-04-18,Big Street ATM,49,325620,306450,632070
2016-04-19,Big Street ATM,93,741150,674550,1415700
2016-04-20,Big Street ATM,111,769500,896400,1665900
2016-04-21,Big Street ATM,111,582800,436050,1018850
2016-04-22,Big Street ATM,84,243000,683550,926550
2016-04-23,Big Street ATM,100,951340,565650,1516990
2016-04-24,Big Street ATM,110,261220,1101600,1362820
2016-04-25,Big Street ATM,89,664600,531900,1196500
2016-04-26,Big Street ATM,102,603860,722250,1326110
2016-04-27,Big Street ATM,129,931900,1103400,2035300
2016-04-28,Big Street ATM,131,575910,741600,1317510
2016-04-29,Big Street ATM,104,556470,778950,1335420
2016-04-30,Big Street ATM,116,893020,1081350,1974370
2016-05-01,Big Street ATM,100,385160,1171800,1556960
2016-05-02,Big Street ATM,74,540270,465300,1005570
2016-05-03,Big Street ATM,138,824980,1672200,2497180
2016-05-04,Big Street ATM,85,460970,794270,1255240
2016-05-05,Big Street ATM,139,544740,2235540,2780280
2016-05-06,Big Street ATM,77,214750,694580,909330
2016-05-07,Big Street ATM,71,308300,653000,961300
2016-05-08,Big Street ATM,110,1217500,775370,1992870
2016-05-09,Big Street ATM,103,683380,889240,1572620
2016-05-10,Big Street ATM,92,702680,638550,1341230
2016-05-11,Big Street ATM,91,831060,599400,1430460
2016-05-12,Big Street ATM,121,591770,678630,1270400
2016-05-13,Big Street ATM,109,635850,1197000,1832850
2016-05-14,Big Street ATM,107,906800,814950,1721750
2016-05-15,Big Street ATM,89,861440,653400,1514840
2016-05-16,Big Street ATM,100,520020,732600,1252620
2016-05-17,Big Street ATM,75,328460,396900,725360
2016-05-18,Big Street ATM,118,790960,1115550,1906510
2016-05-19,Big Street ATM,113,706720,661500,1368220
2016-05-20,Big Street ATM,108,507060,616950,1124010
2016-05-21,Big Street ATM,107,736290,1096650,1832940
2016-05-22,Big Street ATM,120,739940,1092150,1832090
2016-05-23,Big Street ATM,99,724540,666900,1391440
2016-05-24,Big Street ATM,106,419580,807300,1226880
2016-05-25,Big Street ATM,40,449960,116100,566060
2016-05-26,Big Street ATM,64,284310,503100,787410
2016-05-27,Big Street ATM,59,130410,316350,446760
2016-05-28,Big Street ATM,75,405810,409950,815760
2016-05-29,Big Street ATM,90,475470,458100,933570
2016-05-30,Big Street ATM,93,540270,702450,1242720
2016-05-31,Big Street ATM,128,535000,1211850,1746850
2016-06-01,Big Street ATM,127,616410,1255050,1871460
2016-06-02,Big Street ATM,132,391640,1668150,2059790
2016-06-03,Big Street ATM,86,608720,802350,1411070
2016-06-04,Big Street ATM,127,781610,1059820,1841430
2016-06-05,Big Street ATM,95,534030,837960,1371990
2016-06-06,Big Street ATM,96,175620,1191170,1366790
2016-06-07,Big Street ATM,73,376340,572670,949010
2016-06-08,Big Street ATM,116,648930,1516250,2165180
2016-06-09,Big Street ATM,105,444380,1297010,1741390
2016-06-10,Big Street ATM,95,446720,896850,1343570
2016-06-11,Big Street ATM,135,754520,1339650,2094170
2016-06-12,Big Street ATM,110,399140,943430,1342570
2016-06-13,Big Street ATM,102,403380,1016550,1419930
2016-06-14,Big Street ATM,104,859820,767700,1627520
2016-06-15,Big Street ATM,120,727780,1089900,1817680
2016-06-16,Big Street ATM,111,380700,1074150,1454850
2016-06-17,Big Street ATM,118,677560,989550,1667110
2016-06-18,Big Street ATM,115,576720,1147050,1723770
2016-06-19,Big Street ATM,97,778000,683550,1461550
2016-06-20,Big Street ATM,128,935550,1470150,2405700
2016-06-21,Big Street ATM,84,345060,825300,1170360
2016-06-22,Big Street ATM,141,912870,1072800,1985670
2016-06-23,Big Street ATM,98,200880,585900,786780
2016-06-24,Big Street ATM,93,374220,568800,943020
2016-06-25,Big Street ATM,68,432540,401400,833940
2016-06-26,Big Street ATM,55,307400,387900,695300
2016-06-27,Big Street ATM,100,447930,1059300,1507230
2016-06-28,Big Street ATM,93,503820,883800,1387620
2016-06-29,Big Street ATM,128,666630,1091250,1757880
2016-06-30,Big Street ATM,133,650840,1192050,1842890
2016-07-01,Big Street ATM,90,571860,594900,1166760
2016-07-02,Big Street ATM,91,422010,1072350,1494360
2016-07-03,Big Street ATM,113,434970,1435050,1870020
2016-07-04,Big Street ATM,148,763330,1838500,2601830
2016-07-05,Big Street ATM,116,502320,1304310,1806630
2016-07-06,Big Street ATM,105,486490,1039030,1525520
2016-07-07,Big Street ATM,144,505200,1948120,2453320
2016-07-08,Big Street ATM,100,360610,1151010,1511620
2016-07-09,Big Street ATM,127,574090,1771400,2345490
2016-07-10,Big Street ATM,126,607900,1447200,2055100
2016-07-11,Big Street ATM,115,611140,928350,1539490
2016-07-12,Big Street ATM,94,623930,446330,1070260
2016-07-13,Big Street ATM,84,607100,610200,1217300
2016-07-14,Big Street ATM,57,494910,238500,733410
2016-07-15,Big Street ATM,97,881680,557100,1438780
2016-07-16,Big Street ATM,128,1042470,980550,2023020
2016-07-17,Big Street ATM,153,773960,1470150,2244110
2016-07-18,Big Street ATM,159,635040,1234800,1869840
2016-07-19,Big Street ATM,117,755320,1341900,2097220
2016-07-20,Big Street ATM,82,473040,496800,969840
2016-07-21,Big Street ATM,125,763830,860400,1624230
2016-07-22,Big Street ATM,87,552020,717750,1269770
2016-07-23,Big Street ATM,85,371380,571950,943330
2016-07-24,Big Street ATM,109,387990,854100,1242090
2016-07-25,Big Street ATM,86,492880,679500,1172380
2016-07-26,Big Street ATM,101,637880,619650,1257530
2016-07-27,Big Street ATM,90,294440,571500,865940
2016-07-28,Big Street ATM,120,658120,728550,1386670
2016-07-29,Big Street ATM,71,536220,742500,1278720
2016-07-30,Big Street ATM,76,522450,588150,1110600
2016-07-31,Big Street ATM,63,578340,439650,1017990
2016-08-01,Big Street ATM,127,923800,1205100,2128900
2016-08-02,Big Street ATM,139,995900,1534500,2530400
2016-08-03,Big Street ATM,93,415120,856800,1271920
2016-08-04,Big Street ATM,137,270040,1462860,1732900
2016-08-05,Big Street ATM,97,831860,875660,1707520
2016-08-06,Big Street ATM,97,358490,982330,1340820
2016-08-07,Big Street ATM,111,1052920,929410,1982330
2016-08-08,Big Street ATM,109,661690,981380,1643070
2016-08-09,Big Street ATM,127,269610,1286620,1556230
2016-08-10,Big Street ATM,100,963900,905400,1869300
2016-08-11,Big Street ATM,109,1052600,756450,1809050
2016-08-12,Big Street ATM,97,501840,815090,1316930
2016-08-13,Big Street ATM,95,449960,1077750,1527710
2016-08-14,Big Street ATM,150,1393600,1191150,2584750
2016-08-15,Big Street ATM,54,344660,520200,864860
2016-08-16,Big Street ATM,103,662580,641700,1304280
2016-08-17,Big Street ATM,73,187110,602550,789660
2016-08-18,Big Street ATM,151,805540,1087650,1893190
2016-08-19,Big Street ATM,129,747630,1241550,1989180
2016-08-20,Big Street ATM,123,539860,947250,1487110
2016-08-21,Big Street ATM,101,435380,828900,1264280
2016-08-22,Big Street ATM,93,405810,542700,948510
2016-08-23,Big Street ATM,99,542700,589500,1132200
2016-08-24,Big Street ATM,113,695380,718650,1414030
2016-08-25,Big Street ATM,138,868720,537750,1406470
2016-08-26,Big Street ATM,85,754520,702000,1456520
2016-08-27,Big Street ATM,105,590900,714600,1305500
2016-08-28,Big Street ATM,107,546340,718650,1264990
2016-08-29,Big Street ATM,89,161190,684450,845640
2016-08-30,Big Street ATM,106,587660,910800,1498460
2016-08-31,Big Street ATM,96,691340,1015200,1706540
2016-09-01,Big Street ATM,129,550580,1174340,1724920
2016-09-02,Big Street ATM,85,247780,1059340,1307120
2016-09-03,Big Street ATM,119,521720,995650,1517370
2016-09-04,Big Street ATM,125,549820,935900,1485720
2016-09-05,Big Street ATM,121,394060,953010,1347070
2016-09-06,Big Street ATM,131,478720,1163930,1642650
2016-09-07,Big Street ATM,150,1122280,1498790,2621070
2016-09-08,Big Street ATM,166,652840,1426080,2078920
2016-09-09,Big Street ATM,119,520340,1191310,1711650
2016-09-10,Big Street ATM,138,703700,1273520,1977220
2016-09-11,Big Street ATM,106,152740,1026430,1179170
2016-09-12,Big Street ATM,123,681280,846490,1527770
2016-09-13,Big Street ATM,129,808740,925540,1734280
2016-09-14,Big Street ATM,100,803360,655780,1459140
2016-09-15,Big Street ATM,132,490560,1268390,1758950
2016-09-16,Big Street ATM,91,198910,581830,780740
2016-09-17,Big Street ATM,114,682550,591230,1273780
2016-09-18,Big Street ATM,84,563650,551900,1115550
2016-09-19,Big Street ATM,129,561740,822080,1383820
2016-09-20,Big Street ATM,98,267020,390310,657330
2016-09-21,Big Street ATM,73,424760,484780,909540
2016-09-22,Big Street ATM,115,483630,578410,1062040
2016-09-23,Big Street ATM,116,528260,651080,1179340
2016-09-24,Big Street ATM,102,723710,559600,1283310
2016-09-25,Big Street ATM,106,750650,550620,1301270
2016-09-26,Big Street ATM,112,395900,772920,1168820
2016-09-27,Big Street ATM,120,637530,774630,1412160
2016-09-28,Big Street ATM,107,1054600,805840,1860440
2016-09-29,Big Street ATM,151,822980,1377830,2200810
2016-09-30,Big Street ATM,110,508640,1020870,1529510
2016-10-01,Big Street ATM,106,702350,1244590,1946940
2016-10-02,Big Street ATM,119,578930,1615630,2194560
2016-10-03,Big Street ATM,116,424760,1598040,2022800
2016-10-04,Big Street ATM,117,709600,1202490,1912090
2016-10-05,Big Street ATM,128,647000,1535900,2182900
2016-10-06,Big Street ATM,149,669490,1832800,2502290
2016-10-07,Big Street ATM,119,762900,1143260,1906160
2016-10-08,Big Street ATM,124,1116960,1527970,2644930
2016-10-09,Big Street ATM,110,692960,1049800,1742760
2016-10-10,Big Street ATM,106,1249610,923740,2173350
2016-10-11,Big Street ATM,100,994840,674300,1669140
2016-10-12,Big Street ATM,136,590570,1453440,2044010
2016-10-13,Big Street ATM,158,935220,1490400,2425620
2016-10-14,Big Street ATM,146,1298970,1777610,3076580
2016-10-15,Big Street ATM,125,1029780,1219750,2249530
2016-10-16,Big Street ATM,80,602680,541820,1144500
2016-10-17,Big Street ATM,101,638550,728640,1367190
2016-10-18,Big Street ATM,128,890510,1374480,2264990
2016-10-19,Big Street ATM,103,920780,898380,1819160
2016-10-20,Big Street ATM,132,333480,1529210,1862690
2016-10-21,Big Street ATM,88,630620,789700,1420320
2016-10-22,Big Street ATM,106,509060,645840,1154900
2016-10-23,Big Street ATM,92,754970,847150,1602120
2016-10-24,Big Street ATM,98,819260,970310,1789570
2016-10-25,Big Street ATM,108,510460,1145230,1655690
2016-10-26,Big Street ATM,100,821120,1248210,2069330
2016-10-27,Big Street ATM,111,356290,843520,1199810
2016-10-28,Big Street ATM,105,443850,917530,1361380
2016-10-29,Big Street ATM,124,1589600,1031380,2620980
2016-10-30,Big Street ATM,108,722840,1168520,1891360
2016-10-31,Big Street ATM,118,1067960,1375520,2443480
2016-11-01,Big Street ATM,133,1285670,1683380,2969050
2016-11-02,Big Street ATM,150,586840,1792050,2378890
2016-11-03,Big Street ATM,121,550160,1492650,2042810
2016-11-04,Big Street ATM,92,253660,978480,1232140
2016-11-05,Big Street ATM,98,774770,777590,1552360
2016-11-06,Big Street ATM,104,827740,1224960,2052700
2016-11-07,Big Street ATM,116,662400,1694510,2356910
2016-11-08,Big Street ATM,110,916570,1041810,1958380
2016-11-09,Big Street ATM,95,957650,798760,1756410
2016-11-10,Big Street ATM,113,500770,1408430,1909200
2016-11-11,Big Street ATM,101,552610,873750,1426360
