loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,verification_status
5000,36 months,14.65,10,MORTGAGE,105000,house,CT,3.36,0,69.6,12,0,16,not verified
15000,36 months,11.71,2,RENT,68962,debt_consolidation,NY,17.56,0,33.7,9,1,8,verified
7200,36 months,10.65,4,RENT,45000,credit_card,IL,16.83,0,52.8,12,1,9,verified
24000,36 months,8.9,10,MORTGAGE,85000,credit_card,WA,13.85,0,35.4,45,0,33,verified
6400,36 months,10.65,2,MORTGAGE,20000,major_purchase,NY,11.64,0,33,7,0,5,verified
8000,36 months,17.27,2,MORTGAGE,84000,other,TX,8.87,0,52.4,12,0,4,not verified
10600,60 months,16.77,1,MORTGAGE,72800,car,CA,13.04,0,84.4,13,1,30,verified
7000,36 months,13.49,2,RENT,40000,wedding,TX,14.4,0,18.2,4,1,3,verified
7500,36 months,7.9,2,MORTGAGE,35000,debt_consolidation,PA,15.77,0,20.8,14,0,18,not verified
6000,36 months,11.71,3,RENT,30000,wedding,NC,5.32,0,27.3,6,0,10,verified
10775,36 months,10.65,6,RENT,30000,debt_consolidation,CA,18.64,0,60.6,14,0,12,verified
10000,36 months,15.27,0,RENT,80000,other,CA,13,0,71,3,0,9,verified
2400,36 months,9.91,2,RENT,30000,debt_consolidation,FL,4.04,0,27.5,33,0,11,not verified
7500,36 months,8.9,10,MORTGAGE,83000,home_improvement,NY,21.41,0,60.4,44,0,24,verified
30000,36 months,6.62,0,RENT,80000,wedding,NY,8.37,0,6.1,9,0,27,verified
3200,36 months,16.29,2,MORTGAGE,115500,medical,TX,9.82,0,98.3,22,0,15,verified
8000,36 months,14.27,3,RENT,35000,wedding,TX,15.94,2,0.3,8,0,6,verified
5000,36 months,18.25,6,RENT,38000,other,CA,15.82,0,97.4,8,1,17,verified
21000,36 months,12.69,10,MORTGAGE,267000,small_business,CO,8.87,0,36.8,27,0,46,verified
5000,36 months,7.9,10,OWN,37000,debt_consolidation,MN,12,0,19.8,43,0,18,not verified
7500,36 months,6.62,7,RENT,49000,other,WI,12.54,0,10,24,0,8,verified
14125,36 months,13.49,,MORTGAGE,60000,debt_consolidation,CO,24.78,0,71.5,25,0,29,verified
20000,36 months,10.65,10,MORTGAGE,120000,credit_card,OK,8.28,0,50.4,10,0,10,verified
17325,60 months,12.69,8,RENT,45000,debt_consolidation,NJ,29.44,0,60.9,34,0,10,verified
14125,60 months,18.25,,MORTGAGE,45780,debt_consolidation,AZ,6.87,0,98.4,38,0,19,verified
7000,36 months,12.69,2,MORTGAGE,85000,small_business,OK,19.28,1,48.8,37,0,14,not verified
12250,36 months,6.03,8,MORTGAGE,56000,debt_consolidation,NJ,11.94,0,39.2,18,0,12,verified
5200,36 months,8.9,10,MORTGAGE,55000,credit_card,LA,2.38,2,18.2,24,0,24,verified
35000,36 months,7.9,9,MORTGAGE,70000,debt_consolidation,MI,19.11,0,47.1,27,0,28,verified
7000,36 months,13.49,10,MORTGAGE,38000,debt_consolidation,NY,12.88,2,52.5,22,0,25,verified
18225,60 months,19.91,7,MORTGAGE,58000,credit_card,MO,24.66,0,70.3,32,1,19,verified
12000,60 months,15.27,4,OWN,34440,debt_consolidation,NM,14.11,0,43.3,16,1,6,verified
10000,36 months,13.49,3,RENT,43000,credit_card,MN,24.89,0,77.5,27,0,11,verified
2000,36 months,7.51,5,MORTGAGE,22800,home_improvement,SC,20.68,0,0,15,0,9,not verified
17400,60 months,22.35,0,RENT,211000,debt_consolidation,WA,17.64,2,98.3,35,0,14,verified
6000,36 months,6.03,2,MORTGAGE,62400,major_purchase,CA,11.65,0,14.2,20,0,32,not verified
5600,36 months,10.65,0,MORTGAGE,39600,small_business,CA,10.61,0,91.8,8,0,7,verified
6000,36 months,9.91,4,MORTGAGE,88000,home_improvement,CA,14.95,0,94.9,19,0,13,not verified
32000,60 months,22.74,10,RENT,108000,debt_consolidation,MO,5.44,2,87.4,21,0,16,verified
6000,36 months,7.51,2,RENT,72600,other,CA,15.6,0,47.9,12,0,13,not verified
6000,36 months,6.03,8,RENT,15000,debt_consolidation,NC,13.04,0,12.4,16,0,8,verified
25000,36 months,7.9,9,MORTGAGE,156000,debt_consolidation,CA,13.59,0,26,27,0,10,verified
20000,60 months,17.58,10,MORTGAGE,66000,debt_consolidation,KY,22.31,0,73.4,63,1,11,verified
5000,36 months,14.27,4,MORTGAGE,85000,debt_consolidation,CA,10.6,0,53.7,14,0,6,not verified
7000,36 months,14.65,6,MORTGAGE,80000,credit_card,NJ,13.47,0,59.1,36,0,21,verified
5000,36 months,10.65,1,RENT,34992,other,NC,1.89,0,34.2,4,0,6,verified
15000,36 months,10.65,3,RENT,44400,debt_consolidation,SD,19.08,0,31.3,26,1,9,verified
27250,36 months,8.9,3,MORTGAGE,63200,credit_card,FL,23.41,0,46.4,31,0,18,verified
12000,36 months,9.91,3,MORTGAGE,65000,debt_consolidation,KY,19.61,0,81.3,19,0,13,not verified
4000,36 months,6.62,10,MORTGAGE,47580,debt_consolidation,KS,1.13,0,2.6,15,0,14,not verified
24000,60 months,12.69,10,MORTGAGE,66000,debt_consolidation,CA,6.2,0,81.9,18,1,14,verified
14400,36 months,12.69,6,RENT,135000,debt_consolidation,CA,12.74,0,88.9,25,0,17,not verified
6550,36 months,7.9,3,RENT,29500,small_business,WI,7.65,0,8.3,4,0,5,verified
7000,36 months,11.71,10,MORTGAGE,60000,debt_consolidation,TX,6.12,1,43.2,8,0,20,not verified
12000,60 months,9.91,5,MORTGAGE,106320,debt_consolidation,HI,16.53,0,63.5,23,0,16,not verified
7500,36 months,12.69,3,RENT,40000,moving,NJ,1.44,1,54.6,9,0,7,verified
6250,36 months,17.27,4,MORTGAGE,28000,other,OH,13.76,0,8.46,15,1,12,verified
3000,36 months,6.62,3,RENT,47000,wedding,CO,20.04,0,59.9,21,0,10,not verified
2500,36 months,11.71,0,RENT,24000,debt_consolidation,UT,2.8,0,42,8,0,7,not verified
3000,36 months,10.65,9,RENT,71000,debt_consolidation,TX,13.62,0,77.2,11,0,13,not verified
4800,36 months,8.9,8,MORTGAGE,70000,home_improvement,CA,10.03,0,78.1,12,1,20,not verified
26000,60 months,21.28,0,RENT,52000,debt_consolidation,CA,18.76,0,98.9,28,1,36,verified
3700,36 months,6.03,2,RENT,75000,debt_consolidation,MA,5.89,0,13.7,16,0,11,verified
15000,36 months,18.64,10,RENT,47000,debt_consolidation,NY,13.76,0,92.9,31,0,17,verified
12000,36 months,10.65,10,MORTGAGE,120000,small_business,OK,11.43,0,0,19,0,24,not verified
1200,36 months,7.9,2,RENT,20400,small_business,PA,22.71,1,22.1,19,0,13,verified
15000,60 months,16.77,0,MORTGAGE,58000,debt_consolidation,NH,22.08,0,89.4,18,1,44,verified
3000,36 months,11.71,5,RENT,46000,debt_consolidation,WA,7.98,0,57.5,12,0,17,not verified
1600,36 months,18.25,0,RENT,14400,debt_consolidation,NC,22.92,0,98.6,15,0,4,verified
6000,36 months,7.51,9,MORTGAGE,59000,other,KY,11,1,7.5,30,0,18,not verified
20000,60 months,21.28,10,MORTGAGE,101657,debt_consolidation,NV,11.24,1,35.7,53,1,20,verified
3000,36 months,17.58,10,MORTGAGE,130000,medical,NY,12.58,0,96.7,35,0,14,verified
6600,36 months,8.9,5,RENT,64000,debt_consolidation,TX,20.57,0,48.4,37,0,12,not verified
14400,60 months,19.91,10,MORTGAGE,160000,medical,TX,21.53,0,74.5,55,0,24,verified
5200,36 months,15.96,1,RENT,30000,debt_consolidation,CA,11.72,0,73.8,10,0,4,verified
7000,36 months,14.27,1,RENT,62000,medical,MD,16.3,1,68,16,0,13,verified
12000,36 months,6.03,4,RENT,60000,debt_consolidation,CA,7.96,0,8.2,25,0,8,verified
20000,60 months,21.28,5,MORTGAGE,54000,credit_card,NJ,17,0,93.3,15,1,10,verified
7200,36 months,6.03,10,MORTGAGE,75000,vacation,MO,21.92,0,7.2,39,0,19,not verified
15000,36 months,13.49,5,RENT,100000,debt_consolidation,CA,15.55,0,94.6,17,0,15,verified
14300,60 months,20.89,1,RENT,75000,debt_consolidation,NY,10.93,0,40,58,1,15,verified
10000,36 months,8.9,3,RENT,30000,debt_consolidation,CA,11.8,0,75.8,15,0,11,not verified
6000,36 months,9.91,3,RENT,52800,credit_card,TX,11.61,0,69.1,19,0,8,verified
20000,60 months,20.3,5,MORTGAGE,80000,wedding,FL,8.4,0,75.9,16,1,12,verified
15000,36 months,6.03,10,OWN,31200,wedding,LA,14.54,0,8.1,15,0,7,verified
29000,36 months,7.51,1,MORTGAGE,67000,home_improvement,SC,5.03,0,40.8,27,0,18,verified
20800,60 months,10.65,5,MORTGAGE,41000,debt_consolidation,CT,14.66,0,29.4,18,0,16,verified
10000,36 months,14.27,10,MORTGAGE,78000,debt_consolidation,MD,4.52,0,79.5,8,1,17,verified
3600,36 months,12.42,6,RENT,45000,car,NY,9.2,1,54.1,27,0,8,not verified
15000,60 months,12.42,5,RENT,41000,debt_consolidation,GA,12.97,0,12,24,0,9,verified
16000,60 months,15.27,3,RENT,51000,debt_consolidation,MO,9.84,0,54.3,30,0,12,verified
30000,36 months,18.25,7,MORTGAGE,131000,debt_consolidation,AZ,9.11,0,19.8,30,0,13,verified
13575,36 months,11.71,2,RENT,60000,credit_card,TX,7.68,0,64.7,14,1,5,not verified
10000,60 months,17.58,4,OWN,70000,debt_consolidation,SC,15.09,1,40.3,50,0,14,verified
12500,36 months,6.03,2,MORTGAGE,180000,other,MA,6.33,0,11.5,23,0,25,verified
5000,36 months,19.03,10,RENT,102240,other,HI,22.61,0,98.7,21,0,17,verified
10000,36 months,14.27,5,RENT,65000,debt_consolidation,NJ,15.58,1,42.7,18,0,15,verified
3600,36 months,16.77,2,RENT,47000,other,MN,21.01,0,92.9,13,0,8,verified
10000,36 months,15.27,0,RENT,30000,credit_card,NY,10,0,68.7,12,1,4,verified
5200,36 months,12.69,10,MORTGAGE,55684,debt_consolidation,MT,20.97,0,77.5,28,0,13,verified
9600,36 months,7.9,1,RENT,70560,credit_card,CA,16.13,0,22.6,34,0,11,not verified
12000,36 months,12.42,8,RENT,30000,debt_consolidation,OR,20.28,0,32.2,7,0,17,not verified
12000,60 months,13.49,10,MORTGAGE,63919.2,wedding,CA,8.43,0,77.5,16,0,10,not verified
6000,36 months,7.51,3,MORTGAGE,38000,other,MI,18.57,0,2.5,18,0,7,not verified
10000,36 months,6.62,10,RENT,45000,debt_consolidation,NJ,23.95,0,31.4,22,0,14,verified
3000,60 months,13.49,3,OWN,28080,car,MD,3.76,1,12.6,16,0,11,not verified
29275,60 months,21.67,10,MORTGAGE,185000,home_improvement,FL,4.35,2,3.4,28,0,12,verified
35000,60 months,12.42,3,MORTGAGE,125000,debt_consolidation,NH,10.3,0,50,35,1,16,verified
10000,36 months,9.91,,RENT,21600,other,OH,10.17,0,33.5,16,0,28,not verified
6000,36 months,9.91,10,MORTGAGE,36000,debt_consolidation,IL,10.9,0,13.3,52,0,16,verified
4725,60 months,12.42,5,OWN,37500,small_business,FL,25.66,1,28,21,0,8,verified
2000,36 months,10.65,,RENT,8400,credit_card,PA,18.43,0,28.6,10,0,4,verified
5400,36 months,6.03,5,MORTGAGE,42000,debt_consolidation,TX,17.34,0,24.3,61,0,18,verified
16000,60 months,18.25,1,RENT,70000,medical,CA,12.89,0,84,23,1,11,verified
2500,36 months,6.62,2,MORTGAGE,36538.32,house,CA,7.26,0,43,15,0,17,not verified
15000,36 months,7.9,9,MORTGAGE,90000,other,MD,9.95,0,17.2,33,0,11,verified
15750,36 months,6.62,3,MORTGAGE,54000,medical,IL,4.98,0,2.7,26,0,21,verified
4800,36 months,8.9,6,OWN,42000,debt_consolidation,AL,6.74,0,3.1,13,0,10,not verified
16000,36 months,7.9,8,RENT,70000,debt_consolidation,NJ,15.79,0,31.4,20,0,11,verified
24000,60 months,19.91,10,MORTGAGE,62000,debt_consolidation,CA,8.38,0,95.4,5,0,7,verified
15000,36 months,12.42,2,RENT,180000,house,FL,4.15,0,50.4,24,0,15,verified
28000,36 months,7.9,2,RENT,65000,debt_consolidation,NC,6.79,0,33.8,40,0,12,verified
6000,36 months,7.9,3,OWN,30000,debt_consolidation,MA,5.84,0,10.4,9,0,6,verified
8000,36 months,9.91,6,RENT,32000,medical,NY,3.23,0,61.1,4,0,12,verified
20000,36 months,14.27,3,MORTGAGE,234000,wedding,CA,2.2,2,17.9,42,0,15,verified
3000,36 months,8.9,10,MORTGAGE,60000,home_improvement,IL,16.38,0,4.5,20,0,11,not verified
20000,60 months,20.3,10,MORTGAGE,84000,credit_card,AZ,20.2,0,95.3,26,1,16,verified
16000,36 months,17.58,3,RENT,50000,debt_consolidation,NC,8.69,0,25.8,11,0,6,verified
2000,36 months,12.69,,RENT,24000,other,NY,18.8,0,82.7,13,1,10,not verified
10000,36 months,6.62,1,MORTGAGE,75000,small_business,AL,26.61,0,0,38,0,13,verified
12000,60 months,12.69,10,MORTGAGE,48000,debt_consolidation,OK,14.43,0,30,29,0,27,not verified
35000,36 months,11.71,3,MORTGAGE,250000,small_business,CA,4.13,0,10.9,16,0,20,verified
25000,60 months,22.35,8,MORTGAGE,66362.04,debt_consolidation,AK,15.32,1,74.9,32,1,10,verified
35000,60 months,20.3,5,RENT,82000,small_business,FL,9.15,0,87.9,4,1,15,verified
12000,60 months,17.27,5,MORTGAGE,65000,debt_consolidation,CO,13.79,0,57,19,0,11,verified
10000,36 months,6.03,2,MORTGAGE,40000,debt_consolidation,MN,8.88,0,8.4,37,0,10,verified
4500,36 months,11.71,4,RENT,48000,debt_consolidation,WA,6.35,0,23.2,7,0,5,verified
3200,36 months,11.71,10,MORTGAGE,81100,debt_consolidation,KS,19.5,0,75.2,37,0,17,verified
14000,36 months,7.9,9,RENT,37947,credit_card,IL,21.69,0,67.2,25,0,13,verified
21000,60 months,21.67,3,MORTGAGE,120000,debt_consolidation,NC,11.86,0,85.7,41,0,19,verified
20000,36 months,11.71,1,RENT,70000,debt_consolidation,FL,14.52,0,59.2,25,0,16,verified
20000,60 months,13.49,10,OWN,300000,debt_consolidation,NJ,9.07,1,53.9,19,0,12,verified
10800,36 months,12.42,4,MORTGAGE,86000,debt_consolidation,NH,11.41,1,32.2,29,0,15,verified
15875,60 months,17.58,3,RENT,32400,small_business,CA,22.74,0,87.7,16,1,4,verified
14500,36 months,7.9,5,RENT,162000,debt_consolidation,CT,4.8,0,0,14,0,16,verified
15000,36 months,11.71,4,MORTGAGE,53808,debt_consolidation,AR,18.84,0,61.5,20,0,11,verified
15000,36 months,14.27,10,MORTGAGE,67200,small_business,CO,11.11,0,0,13,0,17,verified
12000,36 months,9.91,7,MORTGAGE,47500,debt_consolidation,MN,14.15,0,46.6,13,0,10,verified
4000,36 months,6.62,5,MORTGAGE,190000,other,TX,21.08,0,54.8,58,0,32,verified
3500,36 months,6.03,7,MORTGAGE,37980,major_purchase,GA,4.96,0,23.1,11,0,10,verified
12000,36 months,6.62,0,RENT,38000,debt_consolidation,FL,13.99,0,70.8,21,0,11,verified
6800,36 months,9.91,4,RENT,53000,major_purchase,NY,2.99,0,3.4,10,0,9,verified
10925,36 months,12.69,4,MORTGAGE,96000,debt_consolidation,NJ,20.96,1,83.6,31,0,18,verified
8650,36 months,8.9,10,MORTGAGE,60000,other,FL,23.26,0,81.9,34,0,19,verified
3500,36 months,8.9,5,RENT,59000,medical,NY,9.17,0,78.2,15,0,9,not verified
35000,36 months,10.65,7,MORTGAGE,90000,debt_consolidation,NY,17.41,0,41.3,42,0,25,verified
15000,60 months,10.65,6,MORTGAGE,200000,major_purchase,MI,4.43,0,15.8,27,0,17,verified
4950,36 months,7.9,3,OWN,13200,debt_consolidation,TX,15.36,0,14.4,6,0,11,verified
10000,36 months,14.27,10,RENT,90000,small_business,CA,11.43,1,67.8,21,1,16,verified
10000,36 months,7.9,4,RENT,66000,debt_consolidation,CA,19.42,0,38.1,19,0,5,not verified
4800,36 months,12.69,6,RENT,33000,other,IL,4.22,0,96.8,18,0,16,not verified
3200,36 months,13.49,10,MORTGAGE,78000,debt_consolidation,GA,15.26,0,72.3,25,0,14,verified
3000,36 months,9.91,5,MORTGAGE,34800,house,PA,14.17,0,50.5,10,0,10,not verified
2850,36 months,15.27,3,RENT,19200,debt_consolidation,PA,18.75,0,43.8,13,0,5,verified
6000,36 months,14.27,10,MORTGAGE,195000,vacation,FL,16.47,0,92.2,31,0,13,verified
2500,36 months,11.71,10,MORTGAGE,67000,debt_consolidation,VA,17.3,0,69.9,41,0,18,verified
15000,36 months,16.77,3,MORTGAGE,133000,credit_card,CO,1.38,1,55,29,0,13,verified
12500,60 months,17.58,10,RENT,74400,debt_consolidation,FL,14.44,0,81,13,0,11,verified
14000,36 months,7.9,10,RENT,72000,credit_card,FL,19.63,0,74.5,10,0,18,verified
3700,36 months,15.96,1,RENT,40000,debt_consolidation,VA,14.34,0,87.6,12,0,13,not verified
3000,36 months,7.9,0,RENT,18000,moving,PA,4.33,0,20.8,6,0,11,verified
1800,36 months,14.65,8,MORTGAGE,70000,debt_consolidation,MD,16.15,1,56.3,32,0,17,not verified
5000,36 months,8.9,0,RENT,35000,debt_consolidation,MN,8.16,0,26.7,17,0,5,verified
13600,36 months,7.9,2,RENT,88000,debt_consolidation,MA,10.42,0,42.2,33,0,10,not verified
32875,60 months,19.42,10,MORTGAGE,87600,debt_consolidation,TX,23.73,0,63.1,43,0,17,verified
10000,36 months,12.42,3,RENT,78000,debt_consolidation,CA,2.37,0,29.1,9,0,8,verified
20000,60 months,13.49,3,RENT,84000,debt_consolidation,CA,19.66,0,57.8,43,0,23,verified
21100,36 months,8.9,2,MORTGAGE,72000,debt_consolidation,CA,19.2,0,57.9,25,0,11,verified
12000,36 months,10.65,2,RENT,42000,debt_consolidation,FL,15.29,0,59.1,24,0,18,verified
20000,60 months,10.65,6,MORTGAGE,133000,debt_consolidation,CA,20.92,0,19.7,32,0,17,verified
10000,36 months,6.62,8,OWN,85000,debt_consolidation,CO,12.3,0,0,34,0,11,not verified
24000,60 months,17.27,3,MORTGAGE,106000,small_business,KY,6.6,0,77.3,35,0,16,verified
15000,36 months,6.03,10,RENT,50000,debt_consolidation,NJ,6.6,0,22.4,18,0,18,verified
5000,36 months,13.49,3,RENT,38400,debt_consolidation,CA,15.19,0,76.6,10,0,15,not verified
8000,36 months,16.77,6,RENT,40000,debt_consolidation,OH,19.89,0,73.9,23,1,5,not verified
16000,36 months,6.03,10,MORTGAGE,98000,home_improvement,MA,17.11,0,8.1,31,0,22,not verified
21000,36 months,7.9,10,RENT,79000,home_improvement,CA,10.15,0,0.7,27,0,14,verified
4000,36 months,10.65,10,MORTGAGE,300000,debt_consolidation,FL,13.63,0,92.9,25,0,28,verified
4400,36 months,11.71,10,MORTGAGE,120000,credit_card,CA,18.07,0,22.7,42,0,13,verified
12000,60 months,13.49,0,RENT,100000,debt_consolidation,CA,20.88,0,85.3,25,1,24,verified
15000,36 months,6.03,0,MORTGAGE,57500,wedding,FL,0.96,0,1.4,14,0,11,verified
7000,36 months,14.65,0,RENT,50000,debt_consolidation,CA,11.28,0,69.8,11,0,6,verified
7750,36 months,12.69,8,MORTGAGE,29000,credit_card,GA,13.94,0,57.1,15,0,8,verified
11500,36 months,8.9,6,MORTGAGE,55000,debt_consolidation,WV,18.52,0,47.9,33,0,13,verified
22750,60 months,17.58,10,MORTGAGE,45000,debt_consolidation,PA,16.93,0,72.1,16,0,15,verified
18000,36 months,11.71,0,RENT,85000,credit_card,NY,14.19,0,23.9,29,0,16,verified
12000,60 months,12.42,7,MORTGAGE,39481,debt_consolidation,MO,16.2,0,69.6,23,0,14,not verified
15000,36 months,15.27,1,RENT,30000,debt_consolidation,MI,10.36,0,79.9,10,0,5,verified
35000,60 months,19.91,1,RENT,300000,debt_consolidation,FL,3.85,0,70.7,23,0,28,verified
25000,60 months,11.71,10,MORTGAGE,75000,debt_consolidation,IL,13.42,0,37.9,19,0,18,verified
22000,36 months,11.71,3,RENT,84000,debt_consolidation,PA,13.26,0,26.5,21,0,13,verified
25600,60 months,14.27,4,RENT,86000,debt_consolidation,NY,26.51,0,70.8,32,0,28,verified
9000,36 months,6.62,4,MORTGAGE,54000,debt_consolidation,NY,11.8,0,66.2,23,0,11,not verified
9500,36 months,11.71,2,MORTGAGE,90000,debt_consolidation,CA,22.63,0,36.8,44,0,9,verified
11200,36 months,11.71,3,RENT,78402,debt_consolidation,CA,10.24,1,31.3,16,0,13,not verified
16000,60 months,19.42,1,MORTGAGE,60000,debt_consolidation,OK,6.2,0,53.4,20,0,11,verified
4000,36 months,7.9,6,RENT,45000,credit_card,IL,4.96,0,31.3,9,0,14,verified
8000,36 months,19.42,3,RENT,30000,debt_consolidation,IL,18.56,0,,10,0,19,verified
14000,60 months,13.49,10,MORTGAGE,45000,debt_consolidation,OK,14.43,0,83.1,14,1,17,verified
6000,36 months,14.27,5,MORTGAGE,180000,other,CA,18.47,0,66.8,35,0,28,verified
16000,36 months,16.77,10,MORTGAGE,144000,debt_consolidation,PA,21.03,0,68.4,60,0,16,verified
10000,36 months,9.91,1,RENT,45000,credit_card,FL,20.88,0,92.1,18,0,17,not verified
12000,36 months,10.65,3,MORTGAGE,60000,credit_card,AR,16.98,0,76.8,24,0,12,not verified
17200,36 months,14.27,0,RENT,75000,credit_card,CA,12.8,0,83.6,14,0,7,verified
12000,36 months,14.65,10,MORTGAGE,88000,home_improvement,MO,15.14,0,55.7,17,0,16,verified
18250,60 months,13.49,10,MORTGAGE,45000,debt_consolidation,GA,20.03,0,44.1,62,1,24,verified
3000,36 months,12.42,0,RENT,43500,other,NC,24.5,0,97.2,9,0,12,verified
6700,36 months,8.9,3,MORTGAGE,22080,credit_card,NY,21.41,0,71.8,22,0,17,not verified
10000,36 months,6.62,10,MORTGAGE,91154,other,CA,5.85,1,33.1,33,0,26,verified
23500,36 months,13.49,0,MORTGAGE,48000,debt_consolidation,FL,12.2,0,59.4,26,0,12,verified
3000,36 months,12.69,10,MORTGAGE,47000,home_improvement,NV,18.23,0,53.6,23,0,10,verified
25000,36 months,7.9,4,MORTGAGE,118000,home_improvement,GA,0.02,0,0.2,18,0,11,verified
11050,36 months,12.69,2,RENT,120000,debt_consolidation,CA,8.88,1,80.2,24,0,22,not verified
11200,36 months,14.27,10,OWN,46000,credit_card,TX,19.38,0,72.2,33,0,13,verified
3000,36 months,19.91,10,MORTGAGE,71760,other,CA,5.89,0,98.8,8,0,14,not verified
8000,36 months,7.9,6,RENT,75000,car,NY,7.41,0,48.1,9,0,5,verified
8000,36 months,14.27,10,MORTGAGE,110000,wedding,NV,10.8,0,56.9,37,0,13,verified
8000,36 months,12.69,2,MORTGAGE,40000,debt_consolidation,MO,23.13,0,29.4,16,1,16,not verified
6000,36 months,6.62,3,RENT,24000,other,CO,18.45,0,12,13,0,12,verified
8500,36 months,14.27,2,RENT,18000,credit_card,NV,12.53,0,63.3,6,0,6,verified
14000,36 months,7.9,1,MORTGAGE,111239.96,credit_card,AZ,23.11,0,41.7,24,0,18,verified
18000,36 months,7.9,3,MORTGAGE,46000,debt_consolidation,HI,10.17,0,43.3,16,0,11,not verified
3650,36 months,9.91,1,MORTGAGE,12960,other,VA,6.39,0,56.2,6,0,12,verified
22575,60 months,20.89,0,MORTGAGE,84000,small_business,MD,2.41,2,14.4,30,1,9,verified
35000,60 months,15.96,10,MORTGAGE,102158,major_purchase,FL,14.61,0,35.2,55,0,44,verified
16000,60 months,19.03,10,RENT,75000,debt_consolidation,CA,8.4,0,87.8,11,0,5,verified
2400,36 months,9.91,,RENT,8280,credit_card,NC,8.12,0,14.8,10,0,18,not verified
8000,36 months,14.27,3,RENT,90000,debt_consolidation,CT,9.68,0,88,10,0,5,verified
35000,60 months,11.71,4,RENT,80000,debt_consolidation,IL,22.61,0,53.5,22,0,21,verified
12500,36 months,19.03,10,MORTGAGE,96000,other,TX,17.82,0,94,20,0,10,not verified
12000,60 months,18.25,,RENT,24000,debt_consolidation,CO,10.4,2,50.3,29,1,14,verified
6400,36 months,8.9,,RENT,35000,wedding,AZ,18.45,0,9.4,5,0,3,verified
2400,36 months,14.65,1,RENT,35000,debt_consolidation,NY,2.71,0,53.7,12,0,5,not verified
5000,36 months,8.9,6,MORTGAGE,140000,debt_consolidation,TX,20.86,0,68.6,29,0,14,verified
20000,36 months,12.42,3,RENT,110000,debt_consolidation,CA,11.5,0,27.2,31,0,25,verified
6000,36 months,9.91,10,RENT,45000,credit_card,NY,16.43,1,74.5,22,0,18,not verified
11500,36 months,12.42,4,RENT,50000,debt_consolidation,TX,16.56,1,39.6,55,0,11,verified
25000,36 months,9.91,3,RENT,66000,debt_consolidation,FL,15.38,0,46.5,21,0,11,verified
5300,36 months,14.65,10,RENT,43218,debt_consolidation,MI,24.88,0,97,18,0,10,verified
6400,60 months,18.25,5,RENT,33000,major_purchase,OH,9.05,0,60.5,6,1,5,verified
16000,60 months,15.27,5,RENT,43000,debt_consolidation,NY,22.94,0,28.8,22,0,6,verified
20375,60 months,17.27,5,MORTGAGE,62510,debt_consolidation,NC,21.52,0,27.2,27,0,19,verified
15000,36 months,14.65,2,MORTGAGE,75000,credit_card,TX,13.07,0,78.7,17,0,10,verified
21600,36 months,7.51,2,MORTGAGE,70000,debt_consolidation,WA,7.87,0,24.5,26,0,8,verified
21000,60 months,14.27,10,MORTGAGE,83400,debt_consolidation,CA,21.63,0,84.7,32,0,12,verified
5000,36 months,8.9,0,RENT,42000,debt_consolidation,NJ,16.74,0,24.8,42,0,13,verified
24000,36 months,7.9,4,MORTGAGE,115000,debt_consolidation,TX,17.82,0,47.6,34,0,10,verified
4500,36 months,6.62,0,RENT,36000,debt_consolidation,CA,9.43,0,11.3,28,0,7,verified
3500,36 months,15.27,1,RENT,26400,debt_consolidation,CA,7.05,0,70.7,8,0,5,not verified
5000,60 months,15.27,4,MORTGAGE,96000,car,VA,22.84,0,97,49,0,13,verified
2500,36 months,14.65,10,RENT,48000,debt_consolidation,RI,14.68,0,84.1,9,0,7,verified
20000,60 months,22.35,8,RENT,73000,debt_consolidation,VA,14.1,0,86.7,14,1,16,verified
5000,36 months,10.65,2,MORTGAGE,34000,debt_consolidation,MI,15.11,0,57.9,21,0,5,verified
4000,36 months,11.71,,RENT,25000,debt_consolidation,NY,14.93,0,36.5,23,0,17,verified
21600,36 months,15.27,4,MORTGAGE,96000,debt_consolidation,GA,9.51,0,89.6,14,1,12,verified
10000,36 months,12.69,1,MORTGAGE,110000,debt_consolidation,TX,13.23,0,63.1,21,0,10,not verified
6000,36 months,6.62,,RENT,21640,debt_consolidation,KS,25.23,0,23.6,13,1,22,verified
24000,36 months,7.9,4,RENT,85000,debt_consolidation,CA,5.08,0,1.5,19,0,9,verified
17000,36 months,6.03,,MORTGAGE,61200,debt_consolidation,NY,4.63,0,29.2,34,0,18,verified
2400,36 months,7.9,3,RENT,63300,credit_card,GA,14.73,0,18.4,12,0,12,not verified
10000,36 months,10.65,2,MORTGAGE,89000,home_improvement,TX,10.39,0,22.1,13,0,6,verified
14000,36 months,6.62,10,RENT,55000,debt_consolidation,TX,20.18,0,27.8,63,0,13,verified
6700,36 months,10.65,3,MORTGAGE,40000,debt_consolidation,FL,6.6,0,90.8,17,0,10,verified
7000,36 months,19.03,5,OWN,46800,moving,MI,13.36,0,37.9,5,1,4,verified
9000,36 months,7.51,4,RENT,46000,credit_card,CA,12.34,0,14,20,0,7,not verified
14500,60 months,18.64,2,MORTGAGE,39300,credit_card,VA,7.42,0,72.8,17,1,7,not verified
16950,36 months,18.25,2,RENT,55000,debt_consolidation,NJ,21.23,0,97.9,17,0,6,verified
